chr,start,end,bin,V5,V6,V7,V8,V9,gene_id,V11,hgnc_symbol,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,coverage,dataset,condition,target,coverage.fold
chr11,63940959,63955319,18361,+,ensembl_havana,gene,NA,NA,ENSG00000110583,13,NAA40,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18361,NAA40,0.2072480852,Gene Body,D8L4Y_0h,Total Pol II,0.9161521754146285
chr11,63987853,63999811,15959,+,ensembl_havana,gene,NA,NA,ENSG00000167770,13,OTUB1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15959,OTUB1,0.3813171154,Gene Body,D8L4Y_0h,Total Pol II,1.6856344147132365
chr11,63996558,64168113,167556,-,ensembl_havana,gene,NA,NA,ENSG00000133315,12,MACROD1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167556,MACROD1,0.3039395689,Gene Body,D8L4Y_0h,Total Pol II,1.34358248460343
chr11,64187272,64202543,19272,+,ensembl_havana,gene,NA,NA,ENSG00000168439,17,STIP1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19272,STIP1,0.3291847883,Gene Body,D8L4Y_0h,Total Pol II,1.4551804405015991
chr11,64207926,64221896,17971,+,ensembl_havana,gene,NA,NA,ENSG00000149781,14,FERMT3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17971,FERMT3,0.3387729782,Gene Body,D8L4Y_0h,Total Pol II,1.497565589810441
chr11,64253530,64267150,17621,+,ensembl_havana,gene,NA,NA,ENSG00000149782,13,PLCB3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17621,PLCB3,0.2626146425,Gene Body,D8L4Y_0h,Total Pol II,1.1609032517233118
chr11,64267830,64286704,14875,-,ensembl_havana,gene,NA,NA,ENSG00000002330,14,BAD,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14875,BAD,1.311728643,Gene Body,D8L4Y_0h,Total Pol II,5.798572511193115
chr11,64272062,64287494,19433,+,ensembl_havana,gene,NA,NA,ENSG00000173264,16,GPR137,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19433,GPR137,0.644925302,Gene Body,D8L4Y_0h,Total Pol II,2.850929685729305
chr11,64307497,64314743,11247,+,ensembl_havana,gene,NA,NA,ENSG00000173153,17,ESRRA,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11247,ESRRA,0.3919175837,Gene Body,D8L4Y_0h,Total Pol II,1.7324943993740685
chr11,64361148,64370215,13068,+,ensembl_havana,gene,NA,NA,ENSG00000162302,13,RPS6KA4,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13068,RPS6KA4,0.2312946118,Gene Body,D8L4Y_0h,Total Pol II,1.02245124029861
chr11,64604174,64725197,117024,-,ensembl_havana,gene,NA,NA,ENSG00000110076,21,NRXN2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117024,NRXN2,0.1183713056,Gene Body,D8L4Y_0h,Total Pol II,0.5232672187415212
chr11,64744389,64761974,13586,-,ensembl_havana,gene,NA,NA,ENSG00000068976,14,PYGM,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13586,PYGM,0.4854942949,Gene Body,D8L4Y_0h,Total Pol II,2.146155676153992
chr11,64762606,64780786,14181,-,ensembl_havana,gene,NA,NA,ENSG00000168066,22,SF1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14181,SF1,0.6839165703,Gene Body,D8L4Y_0h,Total Pol II,3.0232928476892713
chr11,64782918,64805241,18324,-,ensembl_havana,gene,NA,NA,ENSG00000168067,12,MAP4K2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18324,MAP4K2,0.330582883,Gene Body,D8L4Y_0h,Total Pol II,1.461360799174658
chr11,64801510,64813294,7785,-,ensembl_havana,gene,NA,NA,ENSG00000133895,19,MEN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7785,MEN1,0.5380309171,Gene Body,D8L4Y_0h,Total Pol II,2.378396860293369
chr11,64821052,64846653,21602,-,ensembl_havana,gene,NA,NA,ENSG00000171219,9,CDC42BPG,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21602,CDC42BPG,0.452268597,Gene Body,D8L4Y_0h,Total Pol II,1.999279552394494
chr11,64849642,64890296,36655,-,ensembl_havana,gene,NA,NA,ENSG00000110047,18,EHD1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36655,EHD1,0.673959365,Gene Body,D8L4Y_0h,Total Pol II,2.9792764444118087
chr11,64892546,64919209,22664,-,ensembl_havana,gene,NA,NA,ENSG00000110046,14,ATG2A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22664,ATG2A,0.2823441384,Gene Body,D8L4Y_0h,Total Pol II,1.2481186321268312
chr11,64919553,64932475,16923,+,ensembl_havana,gene,NA,NA,ENSG00000068971,14,PPP2R5B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16923,PPP2R5B,0.1808309574,Gene Body,D8L4Y_0h,Total Pol II,0.7993737304952432
chr11,64985945,64999018,9074,-,ensembl_havana,gene,NA,NA,ENSG00000168062,10,BATF2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9074,BATF2,0.161444955,Gene Body,D8L4Y_0h,Total Pol II,0.7136767830218139
chr11,65064300,65086164,17865,-,ensembl_havana,gene,NA,NA,ENSG00000146670,10,CDCA5,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17865,CDCA5,0.4357169456,Gene Body,D8L4Y_0h,Total Pol II,1.9261120178323239
chr11,65124183,65125371,5189,+,ensembl_havana,gene,NA,NA,ENSG00000149792,9,MRPL49,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5189,MRPL49,0.3157154661,Gene Body,D8L4Y_0h,Total Pol II,1.395638520859822
chr11,65182566,65210006,31441,+,ensembl_havana,gene,NA,NA,ENSG00000014216,16,CAPN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31441,CAPN1,0.2729393602,Gene Body,D8L4Y_0h,Total Pol II,1.2065442648707612
chr11,65335843,65352262,20420,+,ensembl_havana,gene,NA,NA,ENSG00000133884,11,DPF2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20420,DPF2,0.2208718845,Gene Body,D8L4Y_0h,Total Pol II,0.9763769700324525
chr11,65388621,65411525,26905,+,ensembl_havana,gene,NA,NA,ENSG00000126391,14,FRMD8,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26905,FRMD8,0.2322189247,Gene Body,D8L4Y_0h,Total Pol II,1.0265372190582285
chr11,65527077,65536704,13628,+,ensembl_havana,gene,NA,NA,ENSG00000142186,18,SCYL1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13628,SCYL1,0.3889221986,Gene Body,D8L4Y_0h,Total Pol II,1.7192531258881334
chr11,65536559,65560930,20372,-,ensembl_havana,gene,NA,NA,ENSG00000168056,18,LTBP3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20372,LTBP3,0.8298157903,Gene Body,D8L4Y_0h,Total Pol II,3.668248807911081
chr11,65578046,65590650,16605,+,ensembl_havana,gene,NA,NA,ENSG00000173442,13,EHBP1L1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16605,EHBP1L1,0.3055329635,Gene Body,D8L4Y_0h,Total Pol II,1.3506261778065551
chr11,65595756,65617382,17627,-,ensembl_havana,gene,NA,NA,ENSG00000173327,8,MAP3K11,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17627,MAP3K11,0.5471514447,Gene Body,D8L4Y_0h,Total Pol II,2.4187146812932863
chr11,65617776,65635439,21664,+,ensembl_havana,gene,NA,NA,ENSG00000197136,5,PCNX3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21664,PCNX3,0.2810940025,Gene Body,D8L4Y_0h,Total Pol II,1.242592333906784
chr11,65640101,65648918,12818,+,ensembl_havana,gene,NA,NA,ENSG00000213445,10,SIPA1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12818,SIPA1,0.5922234801,Gene Body,D8L4Y_0h,Total Pol II,2.6179582267389603
chr11,65651599,65665090,9492,-,ensembl_havana,gene,NA,NA,ENSG00000173039,20,RELA,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9492,RELA,1.377688023,Gene Body,D8L4Y_0h,Total Pol II,6.090149774344591
chr11,65712005,65722818,6814,-,ensembl_havana,gene,NA,NA,ENSG00000172922,11,RNASEH2C,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6814,RNASEH2C,0.776709686,Gene Body,D8L4Y_0h,Total Pol II,3.433490195134083
chr11,65713996,65717604,7609,+,ensembl_havana,gene,NA,NA,ENSG00000172977,13,KAT5,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7609,KAT5,0.5420868857,Gene Body,D8L4Y_0h,Total Pol II,2.3963265046262343
chr11,65771898,65782976,7079,-,ensembl_havana,gene,NA,NA,ENSG00000254470,3,AP5B1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7079,AP5B1,0.6090141996,Gene Body,D8L4Y_0h,Total Pol II,2.6921825756966693
chr11,65789063,65795214,10152,+,ensembl_havana,gene,NA,NA,ENSG00000172818,10,OVOL1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10152,OVOL1,0.3531569159,Gene Body,D8L4Y_0h,Total Pol II,1.5611506202929493
chr11,65821022,65864026,39005,-,ensembl_havana,gene,NA,NA,ENSG00000172757,13,CFL1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39005,CFL1,0.9365881607,Gene Body,D8L4Y_0h,Total Pol II,4.1402422611762235
chr11,65859126,65865653,10528,+,ensembl_havana,gene,NA,NA,ENSG00000172732,12,MUS81,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10528,MUS81,0.902914824,Gene Body,D8L4Y_0h,Total Pol II,3.991387324150373
chr11,65864441,65875592,7152,-,ensembl_havana,gene,NA,NA,ENSG00000172638,13,EFEMP2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7152,EFEMP2,0.650585995,Gene Body,D8L4Y_0h,Total Pol II,2.875953107303018
chr11,65890049,65902573,8525,-,ensembl_havana,gene,NA,NA,ENSG00000175592,9,FOSL1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8525,FOSL1,2.811151079,Gene Body,D8L4Y_0h,Total Pol II,12.42685631551027
chr11,65963728,65978137,18410,+,ensembl_havana,gene,NA,NA,ENSG00000175467,15,SART1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18410,SART1,0.3106670475,Gene Body,D8L4Y_0h,Total Pol II,1.3733216937666777
chr11,65994545,66004176,5632,-,ensembl_havana,gene,NA,NA,ENSG00000175376,9,EIF1AD,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5632,EIF1AD,0.9319098869,Gene Body,D8L4Y_0h,Total Pol II,4.119561680629874
chr11,66052729,66067308,18580,+,ensembl_havana,gene,NA,NA,ENSG00000087365,16,SF3B2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18580,SF3B2,0.2463818691,Gene Body,D8L4Y_0h,Total Pol II,1.089145335846448
chr11,66072272,66242744,174473,+,ensembl_havana,gene,NA,NA,ENSG00000175115,13,PACS1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174473,PACS1,0.1611007563,Gene Body,D8L4Y_0h,Total Pol II,0.7121552327142414
chr11,66259294,66265860,10567,+,ensembl_havana,gene,NA,NA,ENSG00000174996,12,KLC2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10567,KLC2,0.3455891615,Gene Body,D8L4Y_0h,Total Pol II,1.527696923242514
chr11,66270590,66275492,8903,+,ensembl_havana,gene,NA,NA,ENSG00000174903,16,RAB1B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8903,RAB1B,0.2029749902,Gene Body,D8L4Y_0h,Total Pol II,0.8972627112430996
chr11,66280175,66283301,7127,+,ensembl_havana,gene,NA,NA,ENSG00000174871,11,CNIH2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7127,CNIH2,0.7635725526,Gene Body,D8L4Y_0h,Total Pol II,3.375416735340679
chr11,66328241,66338840,6600,-,ensembl_havana,gene,NA,NA,ENSG00000174791,11,RIN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6600,RIN1,0.5160191407,Gene Body,D8L4Y_0h,Total Pol II,2.28109252662901
chr11,66335333,66347125,7793,-,ensembl_havana,gene,NA,NA,ENSG00000174744,14,BRMS1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7793,BRMS1,0.7995504061,Gene Body,D8L4Y_0h,Total Pol II,3.5344589224806247
chr11,66360521,66374214,9694,-,ensembl_havana,gene,NA,NA,ENSG00000174669,12,SLC29A2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9694,SLC29A2,1.351807973,Gene Body,D8L4Y_0h,Total Pol II,5.975745512976105
chr11,66433075,66468738,31664,-,ensembl_havana,gene,NA,NA,ENSG00000174547,13,MRPL11,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31664,MRPL11,0.2854349802,Gene Body,D8L4Y_0h,Total Pol II,1.261781877489025
chr11,66468327,66475337,11011,+,ensembl_havana,gene,NA,NA,ENSG00000174516,15,PELI3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11011,PELI3,0.3090909556,Gene Body,D8L4Y_0h,Total Pol II,1.3663544881519916
chr11,66518637,66548235,25599,-,ensembl_havana,gene,NA,NA,ENSG00000174165,8,ZDHHC24,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25599,ZDHHC24,0.408076964,Gene Body,D8L4Y_0h,Total Pol II,1.803927876797566
chr11,66548395,66561334,16940,+,ensembl_havana,gene,NA,NA,ENSG00000248746,6,ACTN3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16940,ACTN3,0.1003825653,Gene Body,D8L4Y_0h,Total Pol II,0.4437469493845823
chr11,66595153,66604019,12867,+,ensembl_havana,gene,NA,NA,ENSG00000173992,9,CCS,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12867,CCS,0.1618251311,Gene Body,D8L4Y_0h,Total Pol II,0.7153573735118034
chr11,66662998,66679887,12890,-,ensembl_havana,gene,NA,NA,ENSG00000173914,12,RBM4B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12890,RBM4B,0.8312345782,Gene Body,D8L4Y_0h,Total Pol II,3.6745206420743863
chr11,66680496,66746670,62175,-,ensembl_havana,gene,NA,NA,ENSG00000173898,16,SPTBN2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62175,SPTBN2,0.3197061009,Gene Body,D8L4Y_0h,Total Pol II,1.413279353342193
chr11,66846417,66960386,109970,-,ensembl_havana,gene,NA,NA,ENSG00000173599,15,PC,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109970,PC,0.32025462,Gene Body,D8L4Y_0h,Total Pol II,1.4157041138230269
chr11,67058847,67070017,15171,+,ensembl_havana,gene,NA,NA,ENSG00000173156,7,RHOD,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15171,RHOD,0.1958653977,Gene Body,D8L4Y_0h,Total Pol II,0.8658343454326225
chr11,67121263,67256082,138820,+,ensembl_havana,gene,NA,NA,ENSG00000173120,15,KDM2A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138820,KDM2A,0.2240936244,Gene Body,D8L4Y_0h,Total Pol II,0.9906188580342487
chr11,67291300,67300485,13186,+,ensembl_havana,gene,NA,NA,ENSG00000172932,16,ANKRD13D,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13186,ANKRD13D,0.2807021798,Gene Body,D8L4Y_0h,Total Pol II,1.2408602589463065
chr11,67305478,67310607,9130,+,ensembl_havana,gene,NA,NA,ENSG00000172830,13,SSH3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9130,SSH3,0.3488569422,Gene Body,D8L4Y_0h,Total Pol II,1.5421423372698322
chr11,67319871,67396410,80540,+,ensembl_havana,gene,NA,NA,ENSG00000172613,8,RAD9A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80540,RAD9A,0.4531588624,Gene Body,D8L4Y_0h,Total Pol II,2.0032150222065273
chr11,67396181,67423183,23003,-,ensembl_havana,gene,NA,NA,ENSG00000172531,16,PPP1CA,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23003,PPP1CA,0.5454657373,Gene Body,D8L4Y_0h,Total Pol II,2.4112629140061137
chr11,67430460,67433401,6942,+,ensembl_havana,gene,NA,NA,ENSG00000175634,15,RPS6KB2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6942,RPS6KB2,0.2549202183,Gene Body,D8L4Y_0h,Total Pol II,1.1268896034785512
chr11,67459710,67471272,7563,-,ensembl_havana,gene,NA,NA,ENSG00000172663,9,TMEM134,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7563,TMEM134,1.260169707,Gene Body,D8L4Y_0h,Total Pol II,5.570653245580215
chr11,67470174,67489154,22981,+,ensembl_havana,gene,NA,NA,ENSG00000110711,11,AIP,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22981,AIP,0.2613525235,Gene Body,D8L4Y_0h,Total Pol II,1.1553239815150187
chr11,67489760,67508263,14504,-,ensembl_havana,gene,NA,NA,ENSG00000110697,14,PITPNM1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14504,PITPNM1,0.4665829267,Gene Body,D8L4Y_0h,Total Pol II,2.0625568766776197
chr11,67640555,67652730,8176,-,ensembl_havana,gene,NA,NA,ENSG00000132744,8,ACY3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8176,ACY3,0.2359863746,Gene Body,D8L4Y_0h,Total Pol II,1.0431914497514567
chr11,67989100,68006982,13883,-,ensembl_havana,gene,NA,NA,ENSG00000110057,9,UNC93B1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13883,UNC93B1,0.6379939394,Gene Body,D8L4Y_0h,Total Pol II,2.8202891955242957
chr11,68032617,68034644,6028,+,ensembl_havana,gene,NA,NA,ENSG00000110717,13,NDUFS8,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6028,NDUFS8,0.2647916186,Gene Body,D8L4Y_0h,Total Pol II,1.1705267007791424
chr11,68041025,68048895,11871,+,ensembl_havana,gene,NA,NA,ENSG00000110719,11,TCIRG1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11871,TCIRG1,0.1951718982,Gene Body,D8L4Y_0h,Total Pol II,0.8627686906886434
chr11,68050859,68123444,68586,-,ensembl_havana,gene,NA,NA,ENSG00000110721,12,CHKA,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68586,CHKA,0.2605242483,Gene Body,D8L4Y_0h,Total Pol II,1.1516625429758414
chr11,68152863,68215852,58990,-,ensembl_havana,gene,NA,NA,ENSG00000110066,16,KMT5B,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58990,KMT5B,0.4720106847,Gene Body,D8L4Y_0h,Total Pol II,2.0865505955798973
chr11,68259338,68274001,10664,-,ensembl_havana,gene,NA,NA,ENSG00000171067,11,C11orf24,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10664,C11orf24,0.7502997949,Gene Body,D8L4Y_0h,Total Pol II,3.3167437404665807
chr11,68314591,68447275,136685,+,ensembl_havana,gene,NA,NA,ENSG00000162337,12,LRP5,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136685,LRP5,0.1752144421,Gene Body,D8L4Y_0h,Total Pol II,0.7745455990054931
chr11,68462731,68613334,154604,+,ensembl_havana,gene,NA,NA,ENSG00000110075,15,PPP6R3,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154604,PPP6R3,0.2396256211,Gene Body,D8L4Y_0h,Total Pol II,1.0592789498826525
chr11,68705440,68753520,44081,-,ensembl_havana,gene,NA,NA,ENSG00000132749,11,TESMIN,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44081,TESMIN,0.2527447828,Gene Body,D8L4Y_0h,Total Pol II,1.1172729647343338
chr11,68752620,68846410,89791,-,ensembl_havana,gene,NA,NA,ENSG00000110090,13,CPT1A,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89791,CPT1A,0.2030829645,Gene Body,D8L4Y_0h,Total Pol II,0.8977400178958409
chr11,68889276,68905835,12560,-,ensembl_havana,gene,NA,NA,ENSG00000197345,13,MRPL21,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12560,MRPL21,0.576023368,Gene Body,D8L4Y_0h,Total Pol II,2.546344692032219
chr11,68905863,68938602,36740,+,ensembl_havana,gene,NA,NA,ENSG00000132740,10,IGHMBP2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36740,IGHMBP2,0.1560318177,Gene Body,D8L4Y_0h,Total Pol II,0.6897476957714914
chr11,69296151,69339682,47532,+,ensembl_havana,gene,NA,NA,ENSG00000172927,9,MYEOV,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47532,MYEOV,0.5343710616,Gene Body,D8L4Y_0h,Total Pol II,2.362218256882908
chr11,69643156,69652474,13319,+,ensembl_havana,gene,NA,NA,ENSG00000110092,4,CCND1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13319,CCND1,1.665009051,Gene Body,D8L4Y_0h,Total Pol II,7.360269035473318
chr11,69651076,69677416,22341,-,ensembl_havana,gene,NA,NA,ENSG00000149716,13,LTO1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22341,LTO1,1.034047368,Gene Body,D8L4Y_0h,Total Pol II,4.571066337046046
chr11,69696238,69706022,5785,-,ensembl_havana,gene,NA,NA,ENSG00000162344,4,FGF19,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5785,FGF19,0.3935117969,Gene Body,D8L4Y_0h,Total Pol II,1.7395417112459501
chr11,70272690,70383312,114623,+,ensembl_havana,gene,NA,NA,ENSG00000131626,19,PPFIA1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114623,PPFIA1,0.1995922172,Gene Body,D8L4Y_0h,Total Pol II,0.8823089670871856
chr11,70400404,70434584,38181,+,ensembl_havana,gene,NA,NA,ENSG00000085733,16,CTTN,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38181,CTTN,0.301045485,Gene Body,D8L4Y_0h,Total Pol II,1.330789018944827
chr11,70465854,71254577,784724,-,ensembl_havana,gene,NA,NA,ENSG00000162105,21,SHANK2,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784724,SHANK2,0.1354110742,Gene Body,D8L4Y_0h,Total Pol II,0.5985925036838974
chr11,71426193,71454868,24676,-,ensembl_havana,gene,NA,NA,ENSG00000172893,18,DHCR7,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24676,DHCR7,0.3855427498,Gene Body,D8L4Y_0h,Total Pol II,1.704314076551033
chr11,71455109,71522107,70999,+,ensembl_havana,gene,NA,NA,ENSG00000172890,13,NADSYN1,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70999,NADSYN1,0.1730784634,Gene Body,D8L4Y_0h,Total Pol II,0.7651033813331036
chr11,71931018,71995597,68580,+,ensembl_havana,gene,NA,NA,ENSG00000137522,18,RNF121,ensembl_havana,protein_coding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68580,RNF121,0.1576056208,Gene Body,D8L4Y_0h,Total Pol II,0.696704783613089
